Loading channels: ...working... done
# Name                       Version           Build  Channel             
_anaconda_depends              5.0.0  py27h58f0b96_0  pkgs/main           
_anaconda_depends              5.0.0  py35h0944035_0  pkgs/main           
_anaconda_depends              5.0.0  py36hd9bc8a5_0  pkgs/main           
_anaconda_depends              5.0.1  py27he797f56_1  pkgs/main           
_anaconda_depends              5.0.1  py35he03212f_1  pkgs/main           
_anaconda_depends              5.0.1  py36h6e48e2d_1  pkgs/main           
_anaconda_depends              5.1.0          py27_2  pkgs/main           
_anaconda_depends              5.1.0          py35_2  pkgs/main           
_anaconda_depends              5.1.0          py36_2  pkgs/main           
_anaconda_depends              5.2.0          py27_3  pkgs/main           
_anaconda_depends              5.2.0          py35_3  pkgs/main           
_anaconda_depends              5.2.0          py36_3  pkgs/main           
_anaconda_depends              5.3.0          py27_0  pkgs/main           
_anaconda_depends              5.3.0          py36_0  pkgs/main           
_anaconda_depends              5.3.0          py37_0  pkgs/main           
_anaconda_depends              5.3.1          py27_0  pkgs/main           
_anaconda_depends              5.3.1          py37_0  pkgs/main           
_anaconda_depends            2018.12          py27_0  pkgs/main           
_anaconda_depends            2018.12          py36_0  pkgs/main           
_anaconda_depends            2018.12          py37_0  pkgs/main           
_anaconda_depends            2019.03          py27_0  pkgs/main           
_anaconda_depends            2019.03          py36_0  pkgs/main           
_anaconda_depends            2019.03          py37_0  pkgs/main           
_anaconda_depends            2019.07          py27_0  pkgs/main           
_anaconda_depends            2019.07          py36_0  pkgs/main           
_anaconda_depends            2019.07          py37_0  pkgs/main           
_anaconda_depends            2019.10          py27_0  pkgs/main           
_anaconda_depends            2019.10          py36_0  pkgs/main           
_anaconda_depends            2019.10          py37_0  pkgs/main           
_anaconda_depends            2020.02          py36_0  pkgs/main           
_anaconda_depends            2020.02          py37_0  pkgs/main           
_anaconda_depends            2020.02          py38_0  pkgs/main           
_anaconda_depends            2020.07          py36_0  pkgs/main           
_anaconda_depends            2020.07          py37_0  pkgs/main           
_anaconda_depends            2020.07          py38_0  pkgs/main           
_anaconda_depends            2021.11          py37_0  pkgs/main           
_anaconda_depends            2021.11          py38_0  pkgs/main           
_anaconda_depends            2021.11          py39_0  pkgs/main           
_anaconda_depends            2022.05          py37_0  pkgs/main           
_anaconda_depends            2022.05          py38_0  pkgs/main           
_anaconda_depends            2022.05          py39_0  pkgs/main           
_anaconda_depends            2022.10         py310_2  pkgs/main           
_anaconda_depends            2022.10          py37_2  pkgs/main           
_anaconda_depends            2022.10          py38_2  pkgs/main           
_anaconda_depends            2022.10          py39_2  pkgs/main           
_go_select                     2.1.0     precompiled  pkgs/main           
_go_select                     2.2.0           nocgo  pkgs/main           
_go_select                     2.3.0             cgo  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0          py27_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0  py27h172cb35_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0 py310hecd8cb5_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0 py310hecd8cb5_1  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0          py35_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0  py35h0f4cdc0_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0          py36_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0  py36h2fc01ae_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0          py37_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0  py37hecd8cb5_1  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0          py38_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0  py38hecd8cb5_1  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0  py39hecd8cb5_0  pkgs/main           
_ipyw_jlab_nb_ext_conf           0.1.0  py39hecd8cb5_1  pkgs/main           
_libarchive_static_for_cph           3.3.3      h190e6e7_0  pkgs/main           
_libarchive_static_for_cph           3.4.3      h1de35cc_0  pkgs/main           
_libarchive_static_for_cph           3.4.3      h1de35cc_2  pkgs/main           
